"Main","Middle","Sub","Address","Central","Unfiltered","Description","DatapointType","Security"
 , ,"Oprit (ZH98)","0/1/203","","","","DPST-1-1","Auto"
 , ,"Tuin - kring 1 (ZH99)","0/1/204","","","","DPST-1-1","Auto"
 , ,"Tuin - kring 2 (ZH100)","0/1/205","","","","DPST-1-1","Auto"
 , ,"Tuin - kring 3 (ZH101)","0/1/206","","","","DPST-1-1","Auto"
 , ,"Terras vooraan (ZG31)","0/1/207","","","","DPST-1-1","Auto"
 , ,"Achtergevel (ZG32)","0/1/208","","","","DPST-1-1","Auto"
 , ,"Tuinhuis (ZH89)","0/1/209","","","","DPST-1-1","Auto"
 , ,"Tuinhuis - buiten (ZH89)","0/1/210","","","","DPST-1-1","Auto"
 , ,"Vijver (ZH89)","0/1/211","","","","DPST-1-1","Auto"
 , ,"Leibomen (ZH89)","0/1/212","","","","DPST-1-1","Auto"
 ,"Dimmen", ,"0/2/-","","","","","Auto"
 , ,"Dampkapverlichting (S15)","0/2/18","","","","DPST-3-7","Auto"
 , ,"Eettafel (S16)","0/2/19","","","","DPST-3-7","Auto"
 , ,"Eethoek - muur (S85)","0/2/20","","","","DPST-3-7","Auto"
 , ,"Zithoek (S18)","0/2/21","","","","DPST-3-7","Auto"
 , ,"Zithoek - muur (S86)","0/2/22","","","","DPST-3-7","Auto"
 , ,"Vide (S19)","0/2/23","","","","DPST-3-7","Auto"
 , ,"Slaapkamer 1 - muur (S17)","0/2/103","","","","DPST-3-7","Auto"
 , ,"Badkamer - plafond (ZG34)","0/2/112","","","","DPST-3-7","Auto"
 ,"Waarde dimmer schrijven", ,"0/3/-","","","","","Auto"
 , ,"Dampkapverlichting (S15)","0/3/18","","","","DPST-5-1","Auto"
 , ,"Eettafel (S16)","0/3/19","","","","DPST-5-1","Auto"
 , ,"Eethoek - muur (S85)","0/3/20","","","","DPST-5-1","Auto"
 , ,"Zithoek (S18)","0/3/21","","","","DPST-5-1","Auto"
 , ,"Zithoek - muur (S86)","0/3/22","","","","DPST-5-1","Auto"
 , ,"Vide (S19)","0/3/23","","","","DPST-5-1","Auto"
 , ,"Slaapkamer 1 - muur (S17)","0/3/103","","","","DPST-5-1","Auto"
 , ,"Badkamer - plafond (ZG34)","0/3/112","","","","DPST-5-1","Auto"
 ,"Waarde dimmer lezen", ,"0/4/-","","","","","Auto"
 , ,"Dampkapverlichting (S15)","0/4/18","","","","DPST-5-1","Auto"
 , ,"Eettafel (S16)","0/4/19","","","","DPST-5-1","Auto"
 , ,"Eethoek - muur (S85)","0/4/20","","","","DPST-5-1","Auto"
 , ,"Zithoek (S18)","0/4/21","","","","DPST-5-1","Auto"
 , ,"Zithoek - muur (S86)","0/4/22","","","","DPST-5-1","Auto"
 , ,"Vide (S19)","0/4/23","","","","DPST-5-1","Auto"
 , ,"Slaapkamer 1 - muur (S17)","0/4/103","","","","DPST-5-1","Auto"
 , ,"Badkamer - plafond (ZG34)","0/4/112","","","","DPST-5-1","Auto"
 ,"Sper/triggerobjecten", ,"0/5/-","","","","","Auto"
 , ,"Nachtverlichting triggeren","0/5/0","","","","DPST-1-1","Auto"
 , ,"Nachtverlichting sperren","0/5/1","","","","DPST-1-1","Auto"
 , ,"Bewegingsmelder wasplaats sperren","0/5/2","","","","DPST-1-1","Auto"
 ,"Group status", ,"0/6/-","","","","","Auto"
 , ,"Alle lichten","0/6/0","","","","DPST-1-1","Auto"
 , ,"Beneden","0/6/1","","","","DPST-1-1","Auto"
"Stopcontacten", , ,"1/-/-","","","","","Auto"
 ,"Aan/uit", ,"1/0/-","","","","","Auto"
 , ,"Zithoek (P83)","1/0/1","","","","DPST-1-1","Auto"
 , ,"Bureau (N6)","1/0/2","","","","DPST-1-1","Auto"
 , ,"Slaapkamer 1 - bed links (O7)","1/0/3","","","","DPST-1-1","Auto"
 , ,"Slaapkamer 1 - bed rechts (O8)","1/0/4","","","","DPST-1-1","Auto"
 , ,"Kelder - pomp (M80)","1/0/5","","","","DPST-1-1","Auto"
 , ,"Vijverpomp (ZH89)","1/0/6","","","","DPST-1-1","Auto"
 ,"Status aan/uit", ,"1/1/-","","","","","Auto"
 , ,"Zithoek (P83)","1/1/1","","","","DPST-1-1","Auto"
 , ,"Bureau (N6)","1/1/2","","","","DPST-1-1","Auto"
 , ,"Slaapkamer 1 - bed links (O7)","1/1/3","","","","DPST-1-1","Auto"
 , ,"Slaapkamer 1 - bed rechts (O8)","1/1/4","","","","DPST-1-1","Auto"
 , ,"Kelder - pomp (M80)","1/1/5","","","","DPST-1-1","Auto"
 , ,"Vijverpomp (ZH89)","1/1/6","","","","DPST-1-1","Auto"
"Ventilatie", , ,"2/-/-","","","","","Auto"
 ,"Aan/uit", ,"2/0/-","","","","","Auto"
 , ,"Ventilator - aan/uit","2/0/0","","","","DPST-1-1","Auto"
 ,"Status", ,"2/1/-","","","","","Auto"
 , ,"Ventilator - aan/uit","2/1/0","","","","DPST-1-1","Auto"
 , ,"Ventilator - Stand L","2/1/1","","","","DPST-1-1","Auto"
 , ,"Ventilator - Stand M","2/1/2","","","","DPST-1-1","Auto"
 , ,"Ventilator - Stand H","2/1/3","","","","DPST-1-1","Auto"
 , ,"Ventilator - Stand badkamer","2/1/4","","","","DPST-1-1","Auto"
 ,"Stand", ,"2/2/-","","","","","Auto"
 , ,"Ventilator - Stand L","2/2/1","","","","DPST-1-1","Auto"
 , ,"Ventilator - Stand M","2/2/2","","","","DPST-1-1","Auto"
 , ,"Ventilator - Stand H","2/2/3","","","","DPST-1-1","Auto"
"Motorsturing", , ,"3/-/-","","","","","Auto"
 ,"Rolgordijnen op/neer", ,"3/0/-","","","","","Auto"
 , ,"Raam 1","3/0/0","","","","DPST-1-8","Auto"
 , ,"Raam 2","3/0/1","","","","DPST-1-8","Auto"
 , ,"Raam 3","3/0/2","","","","DPST-1-8","Auto"
 , ,"Haard","3/0/3","","","","DPST-1-8","Auto"
 , ,"Eettafel","3/0/4","","","","DPST-1-8","Auto"
 , ,"Schuifraam links","3/0/5","","","","DPST-1-8","Auto"
 , ,"Schuifraam rechts","3/0/6","","","","DPST-1-8","Auto"
 , ,"Slaapkamer - Raam 1","3/0/7","","","","DPST-1-8","Auto"
 , ,"Slaapkamer - Raam 2","3/0/8","","","","DPST-1-8","Auto"
 , ,"Slaapkamer - Raam 3","3/0/9","","","","DPST-1-8","Auto"
 , ,"Slaapkamer - Raam 1+2","3/0/10","","","","DPST-1-8","Auto"
 ,"Rolgordijnen stop", ,"3/1/-","","","","","Auto"
 , ,"Raam 1","3/1/0","","","","DPST-1-1","Auto"
 , ,"Raam 2","3/1/1","","","","DPST-1-1","Auto"
 , ,"Raam 3","3/1/2","","","","DPST-1-1","Auto"
 , ,"Haard","3/1/3","","","","DPST-1-1","Auto"
 , ,"Eettafel","3/1/4","","","","DPST-1-1","Auto"
 , ,"Schuifraam links","3/1/5","","","","DPST-1-1","Auto"
 , ,"Schuifraam rechts","3/1/6","","","","DPST-1-1","Auto"
